UID,R-X,readability_reflection,comprehension_debugging,preference_rationale,learning_curve,suggestions_improvement,source_file
4108241f,R-1,"I found string interpolation more readable overall. It reduces visual noise by embedding variables directly into the string, avoiding repetitive "" + var + "" patterns. For example, f""Hello {name}"" is clearer and more concise than ""Hello "" + name. It makes it easier to understand the intended output at a glance, especially when multiple variables are involved.","Yes — interpolation helped me understand the structure and meaning of the output faster. With concatenation, I had to mentally resolve the expression left to right, which can be error-prone if spacing or types aren't clear. Interpolation was more direct, and I didn’t have to worry about type conversion (e.g., numbers to strings) as much.","I’d choose interpolation for most tasks because it improves readability, reduces syntactic overhead, and often prevents bugs related to spacing or type coercion. It's especially useful in logging, UI templates, and formatted output. Concatenation might still be useful in dynamic, loop-based constructions, but for clarity, interpolation wins.","My prior experience with both techniques helped me immediately recognize what the expressions were trying to do. I’m familiar with Python, JavaScript, and Java, so switching between + and {} representations was intuitive. That said, less experienced users might struggle with syntax-specific interpolation unless it closely resembles what they know.","One improvement would be to enforce or recommend consistent spacing and formatting guidelines, especially in concatenation-heavy code. For interpolation, clearer delimiters (e.g., distinguishing between variables and functions) might help in complex cases. Also, IDE support and linting tools can help flag readability issues and auto-format expressions more cleanly.",AKIAYPZKJUD4MSKJLBUZ_v_20250423T215032_i9hU1JwpWIFTM5BLONnXLTiT7GfWfi.0.csv
3c59878e,R-2,I think most of the time I found concatenation more readable when just mashing strings together. But for something like a filepath or url (which has a common structure) interpolation was more readable for me.,"Yeah, for something like the URL using interpolation, i feel like it was a lot easier to understand quickly. Like I said in my other response, I think its easier to understand a string with designated and varying spots (like the domain and query section).","I think for smaller or simpler things I might stick to concatenation. But for bigger strings that might require more variables that also are very different from time to time, I think I might prefere interpolation. 
Interpolation is definitely a lot clearer, especially when the variables have meaningful names. But sometimes it just feels like too much when i want to mash 2 strings together quickly.","Most of my programming career iv'e used and seem mostly concatenations, so it looked more familiar at first. But the examples with interpolation weren't too difficult to understand.","It was my understanding that interpolation is usually used with variables that are already defined, but it looked like in some of the questions that an interpolation like {1 (2)} would literally put ""1 (2)"" in the string. Not sure if this is the case, but if so it can be kinda confusing to someone who has little experience with it.",AKIAYPZKJUD4MSKJLBUZ_v_20250423T215914_FHCBOhOAdsn_sAwnaD0OPu6LM8ilhZ5l.csv
58b12dbc,R-3,"String interpolation because it feels more natural to read. With concatenation there is always a pause in the string and this makes it harder to understand how the formatting of the string is written. An example here is whether or not there is space before or after a specific character after referencing a variable. I find it quite annoying to read, but string interpolation is more clearer with understanding the formatting.","I think concatenation caused more trouble. I think most of the my struggles revolved around the use of parentheses and whether or not the values inside of the types are treated as integers or strings. For example, if you have a string with the character sequence (1 + 1 + 1 + 1 )`as seen in some of the examples. To me, it is unclear what type this expression will evaluate to without knowing the type system of the language. In my mind, this would be (4)... and yet this was treated as (1111) instead. I just found it difficult to discern, and this was mainly caused by the string concatenation examples.","String interpolation. The factors that matter to me include ease of writing, ease of getting the correct format you want, and also keeping the code simple for an outside user.
","I am a compiler writer, so I am aware of some of the design issues when it comes to using interpolation and concatenation. Again, most of the examples I was familiar with and the only ones I struggled with understanding are those where I was unsure about how the types were being handled by the compiler. ","It mainly relates back to understanding a language's type system. I believe `{}` should be the de facto standard to use any form of interpolation and anything inside of it should be treated as non-String types until the runtime system needs to convert the value into a string. For concatenation, I would suggest considering a C-like approach with how values replace variables inside of strings as seen in `printf`. This could be declared as a string where all variable values you want to add can be listed at the end of the string. I'm not sure how that will help with writability, but that would be easier to read in my opinion.",AKIAYPZKJUD4MSKJLBUZ_v_20250423T232620_5rSsQzkX9agDDlEcCBnfKBtwR7zEbYST.csv
ace673cf,R-4,I tried going from left to right and eliminating the answers which failed to follow the concatenation rules,I was not able to do it that quickly. Some of the longer ones did confuse me. ,I would use string interpolation because it is easier for me to substitute a variable directly into my overall string. ,It impacted because I was not used to seeing so many variable names placed in concatenation strings. ,"Yes, if you use interpolation, name the function or variable accordingly so the string can still be understood as its read. ",AKIAYPZKJUD4MSKJLBUZ_v_20250423T233106_ajh9KzVhmfVvAFD3pVpm42ZzKpMBdREX.csv
a9b5b2bc,R-5,The concatenation with interpolation was easier to read. Variable names are more recognizable and its easier to tell when the quotation of the string ends and starts.,"No, neither affected my ability to debug them. There is a question though that the answers is written incorrectly which is the John Doe question.",I would choose interpolation. Its easier to tell where the injections occur and what is in the string print out vs what isn't.,"My time writing powershell is likely the reason I prefer interpolation, its comfortable and something I work with regularly.",Use as little quotation marks as soon as possible.,AKIAYPZKJUD4MSKJLBUZ_v_20250424T001045_cn6WIkzChGtx3WkWdO0br8ZSELwze.zm.csv
4b1edce7,R-6,I find string concatenation more readable because it naturally causes a separation between parts of the string using the + symbol and spaces.,"Yes, interpolation does lead to a small challenge when it is nested, as it is a bit hard to parse due to my lack of experience with it.","String concatenation, as it is what I am used to, and find that spacing out the different parts of the string helps me see what needs to be put where.","Yes, my familiarity of string concatenation helped me parse strings with it a bit quicker, and my inexperience with interpolation did cause me to have some uncertainty when parsing it.",,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002840_Xoz_Gm9hT0vQQtoDoFAt_xjlUIVjpMMn.csv
d7a03449,R-7,String interpolation is much more readable as everything is just in one string and if you need to insert variables you can just put {} instead of having to break it into multiple strings concatenated.,Concatenation slowed down how quickly I could understand the code snippets as I had to use more thinking power to understand how it all went together.,I would prefer to use string interpolation going forward for future programming tasks. Readability is most important factor that influenced this decision which in turn makes it easier to understand.,"For the most part I have used concatenation for working with strings, but only recently have been introduced to string interpolation when working with python. I find it easier now to work with string interpolation.",I don't have any suggestions.,AKIAYPZKJUD4MSKJLBUZ_v_20250424T005211_bhKd09LwAqnD5kyY8b5SQ_wF7dvLgvjh.csv
5c429f4f,R-8,"I felt that string interpolation was more readable because when reading a string, it was much clearer that the curly brackets were not part of the string. While with concatenation, '+' could have been part of it, and it takes more time to read strings that use concatenation.
Example of String Concatenation that I feel would be difficult to read: a + "" + "" + b
Same example using String Interpolation: ""{a} + {b}""","String concatenation made it easier to quickly understand code snippets. Curly brackets are an uncommon set of characters to use in a string, making it easier to understand when they should be replaced with a variable. There was an example of a string that had variable names as part of the string but were not supposed to be replaced with the variables value (i.e. ""path"" instead of ""{path}""). String interpolation made it very easy to understand the difference.","I would rather use string interpolation. It felt easier to read and looked cleaner than string concatenation, especially when concatenating multiple strings/variables it becomes much more difficult to read.","I'm more accustomed to seeing string concatenation, it is what I usually use for combining strings or including variables in strings. I have recently started to move towards string interpolation for, but I feel that despite having more experience with string concatenation, I found string interpolation to be much easier to debug and understand.",I think replacing '+' with '&' may help with string concatenation readability; '&' stands out as a character more which can help make recognizing a string concatenation easier.,AKIAYPZKJUD4MSKJLBUZ_v_20250424T005235_sVFk5xXIIbg0po76GoNuLCM6euuZbizG.csv
fb5ddfab,R-9,"I felt like the string concatenation was slightly more readable than the string interpolation in most cases. During cases where more parenthesis and curly brackets were used, it was difficult to determine at a glance how interpolation would interact with the parenthesis. However, those questions felt easier to understand with the string concatenation.","I felt like some of the longer code snippets overall felt difficult to quickly understand and debug, regardless of using string interpolation or concatenation. I did feel like the shorter code snippets were easier to debug with string concatenation, but it was easy to debug using either method.","I do think I would still use string interpolation, only because it is way easier to type out. String interpolation is more versatile and allows for quicker access of variables while not needing to close double quotes, while string concatenation has the only benefit of being a little more readable. With an IDE, I do think string interpolation would be way better too, as the colors set for the programming language would make it way easier to read interpolation.","I have used both string interpolation and string concatenation, but not a whole lot. It made me familiar with both, but some of the more obscure uses, such as its relationship with parenthesis, were a bit more confusing.",I have no suggestions,AKIAYPZKJUD4MSKJLBUZ_v_20250424T033924_bXM5bCUYHKysF8lsQwy3P3fBkqAG1jNt.csv
df4a1ddc,R-10,"String concatenation was a lot more readable. Also, string concatenation is an approach I have been using since I was a freshmen so it is more familiar. I was confused in some of the instances for string interpolation. ",I felt that I was able to solve the string concatenation tasks faster. But the for the final tasks string interpolation was a better approach.,It depends. If I were to use variables to store commonly used labels I would use string interpolation. Other wise I would use string concatenation if I had to use uncommonly used terms.,String concatenation is an approach I have been using since I was a freshmen so it is more familiar. I was confused in some of the instances for string interpolation. ,Not at this time,AKIAYPZKJUD4MSKJLBUZ_v_20250424T040538_eaznjvQoju5sEap3InH5JwnF.5OSsD3T.csv
0de01107,R-11,The string concatenation because I have more practice meaning with quotations has to do with strings and others with numbers dealing with variables integers,"Yes, the interpolation I do need a bit more practiced but overall took time to understand it.",Interpolation for future programming due to quickly use it because of the formatting making it faster.,I was able to understand the problem quickly because I know how it relates and handles with one another.,Nope,AKIAYPZKJUD4MSKJLBUZ_v_20250424T084520_tk9W5wAdo5_tWTMeZ6qG2OKQU833GdUm.csv
99b5ba63,R-12,I found string concatenation more readable because the pluses and spaces is more readable for the user compared to interpolation.,String interpolation was very hard to read as I had to decipher the curly brackets and the parentheses as well as the quotes to make sure I was making the right string. Concatenation was a little bit easier to read as the pluses and spaces separate the strings well.,I would prefer string concatenation as it is easier to read and understand.,I have more familiarity with concatenation as I was introduced to that first compared to interpolation. Even now I don't fully understand interpolation. ,I don't,AKIAYPZKJUD4MSKJLBUZ_v_20250424T091201_dIIrE4P_vxHsgob7M5WjT0E0sSXE8dEL.csv
47fbae2a,R-13,I find interpolation to be more readable. F-Strings are my preferred method when dealing with strings if that option is available in the language.,I find interpolation to be quicker to understand and debug. Concatenation can be confusing sometimes as statements get more complex especially if there are non-string items being concatenated with strings.,I prefer interpolation from personal experience. It makes reading code much easier in my opinion. I have used both methods and I think interpolation is superior.,I have a lot of experience using both interpolation and concatenation which helped with understanding the code snippets.,I do not have any recommendations on the syntax but as a user I find using very descriptive variable names helps with readability of both concatenation and interpolation.,AKIAYPZKJUD4MSKJLBUZ_v_20250424T144439_JPT84puk80wUycKyD2rz2kk8u0vbIEHE.csv
77b83110,R-14,"Concatenation seemed to be much more readable. When seeing ""a = "" + a + "", b = "" + b you are able to quickly see what is going on. With interpolation, you start seeing different pieces all in the same string which can start to get visually confusing when there is a lot of interpolation in the same string. Concatenation spaces it out in a more readable format.","Once parentheses started being added, it became more challenging to quickly understand what was going on. Simple string interpolation and concatenation did not hinder my ability to understand the code snippets.","I would choose string concatenation. It makes more visual sense to me when programming. One of my reasons is that UNLV starts with teaching the C++ programming language. When writing code for output on programming assignments, it is common to use concatenation to match the intended output. Because of that, my brain is trained to think like that when it comes to programming in general.",My experience with C++ and string concatenation made it easier to understand the concatenation examples. Interpolation is not as commonly used within the UNLV curriculum which gives me a lot less experience with it.  ,"I think the way we use spaces can become a readability challenge. If both interpolation and concatenation were used in the same program that I was reviewing, I would need to think about what the actual string will be. For example, concatenation of this: ""my dog"" + dogName + ""is a good boy"" where dogName = Spot, would result in the string ""my dogSpotis a good boy"" even though there are spaces visible in the concatenation. Now if this was changed to interpolation it would look like: ""my dog {dogName} is a good boy"" and the result would be ""my dog Spot is a good boy"" with the spaces included. A quick review of a program would require some thought to understand the exact output when using interpolation and concatenation.",AKIAYPZKJUD4MSKJLBUZ_v_20250424T190443_JUWfcJslJPfUfK8icdMW6Xmqt1jXnRXG.csv
ef5ce2e9,R-15,Interpolation because it reduced the amount of quotations marks and minimized the confusion of quotation marks within concatenated strings.,Concatenation impacted it by confusing me on whether or not a quotation mark should be in the output or not and added a lot of symbols that seemed unnecessary in comparison to interpolation.,"Interpolation. Concatenation would be helpful for certain instances, but concatenation can be useful in others. I chose interpolation because it felt easier to identify what the output would be in since brackets are rarely needed in output in comparison to maybe quotation marks.","I do not have much experience with interpolation, but I still found it easier to understand by the end than I did concatenation.","No, I think they're pretty well defined already.",AKIAYPZKJUD4MSKJLBUZ_v_20250424T210325_XQrGMyPB9FEkLqarSZzT5t7ltKloo4w8.csv
1fa8158d,R-16,"String concatenation is more readable because the {} making me feel like it would be printed, and I think everything in the """" should be the strings that would be hardcore printed",Interpolation does affect my ability to quickly understand code snippets,I would choose string concatenation,,,AKIAYPZKJUD4MSKJLBUZ_v_20250424T211629_jGX8VdnjImZoF1.ntZrhRvvxLVoUVBeB.csv
61398d75,R-17,"I found interpolation to be more readable because the string fits more snugly into the line of code. For example, when writing a string such as ""https://example.com/"", I find it much more intuitive to have the domain be interpolated inside the string like ""https://{domain}/"" rather than inserting it with the concatenation like ""https://"" + domain + ""/"" and having those nasty plus signs.","If you stick with one of the two to write a string, I feel it's rather straightforward to find out what the result is going to be, but using them both at the same time is the most challenging, since you need to wrap your brain around how both of them are going to fit and make up the final string.",I would definitely choose string interpolation for the more streamlined look and feel when writing up code.,"Having experience with both interpolation and concatenation, I already knew that I prefer interpolation, since I do tend to use it most of the time when I am writing code.","It would be best to maintain consistency between any code that you are writing, and if you are able to fit a resultant string into a smaller space, then I feel that would be most beneficial to the reader.",AKIAYPZKJUD4MSKJLBUZ_v_20250424T222627_Eh3QBdgr1hsJDvzXYM9L3Hkc6F71o9KA.csv
29b8cfa1,R-18,Interpolation. I found that is was more clear and I didn't have to think as hard.,Using string concatenation sometimes made debugging harder because it was tricky to see where variables ended and strings began,"Interpolation because it's cleaner and easier to read, especially when combining multiple variables into one string","My prior experience with string concatenation in earlier classes helped me understand the code examples more easily, but I had to adjust a bit to string interpolation since it was new to me and looked different from what I was used to.","I think string concatenation could be improved by reducing the number of plus signs needed, and string interpolation could be clearer with more distinct formatting to separate variables from the rest of the string.",AKIAYPZKJUD4MSKJLBUZ_v_20250425T000914_xBFATsWn3YD.xEi5zp1QHe7NSxRoloak.csv
c6c04cbf,R-19,"I found concatenation more readable. If there is pure concatenation, it's easier to follow the markers to know where the blocks are. With interpolation it's possible to figure out the blocks, but it just takes longer for me.","Yes. When they were used in combination, it became hard quickly. I was struggling to understand what was what exactly (especially because there was no color-coding).","I would use concatenation. One reason is that I have used mostly concatenation until now in my programming career, and so I'm more used to it. Another reason is that without color-coding, it looks better in my opinion.","I have had little exposure to interpolation, and so I felt it was harder for me to understand what was going on on the more complex questions. On the other hand, I felt that concatenation felt easier and more natural to me.","Color-coding is one of the most important aspects in this regard. With good color-coding, complex problems can be easier to understand. Aside from that, I would say that maybe use unique symbols for the markers of either concatenation or interpolation. The currently used markers may to be too common in other scenarios, reducing the readability of these features.",AKIAYPZKJUD4MSKJLBUZ_v_20250425T003655_gHfLPwDTv1gT_9lMk6LDcFGKr.EA8ItA.csv
72669acc,R-20,"The strings where the whole string was surrounded by """", for exampled the website one where it would have the interpolation inside the string.",Challenges was being able to look at every character to make sure I was reading what was going to be outputed. Advantages where the interpolation was inside the string was much easier.,I would probably choose interpolation for an easier read through and for easier debugging.,Concatenation was pretty easy as is. and I just had to kind of guess what the interpolation was as I didn't know what it was.,Trying not to clump together items.,AKIAYPZKJUD4MSKJLBUZ_v_20250425T005718_DZTHg1Xw4j2VhdzYCiye1ObqI9iauYnk.csv
7aef6041,R-21,"Interpolation is much more readable as there aren't many + signs. It can be confusing, especially when wanting to use a symbol in the concentration.",Yes,I would choose string interpolation as it's much more readable and editable for future use.,"Understanding basic syntax is important when looking at this, however, I believe anyone has the ability to do this. I'm sure I messed up along the way as there were times where there were too many quotation marks and symbols, but I believe my experience in CS has helped me with these problems.",No,AKIAYPZKJUD4MSKJLBUZ_v_20250425T014621_KiaQDNY_2MsmVLDg9VKok6AxLrMwNxtH.csv
b1a43cbd,R-22,Concatenation because I am more familiar with it. I have maybe used interpolation but it's been awhile.,I was able to read concatenation more effectively and had to rely on the multiple choice to debug the interpolation.,I would choose concatenation unless I became more familiar with interpolation.,I was able to better debug the concatenation as its more familiar to me from projects I've completed or school assignments turned in.,I have no recommendations or suggestions on how debugging could be improved.,AKIAYPZKJUD4MSKJLBUZ_v_20250425T020436_cwahwSRHcZfke9nay2Nosykh_fEMaObl.csv
